action,actor,category,condition,confidence,counter,expected_result,phase,purpose,risk,rule_id,source_class,target,trigger
check_away_then_spin_in_behind,striker,MOVEMENT,striker_marked_tightly_centrally,medium-high,"defender delays commitment to the check, waiting for the spin",striker receives in behind with a half-yard of separation,attacking_organisation,create separation from a tight marker via double movement,mistimed check gives the marker time to recover before the spin,MV0001,C,Z28,ball_in_wide_zone_own_side
diagonal_run_into_half_space,inverted_winger,MOVEMENT,opposing_fullback_engaged_by_width,medium,covering CB shifts across to shadow the half-space run,receives between lines facing goal,attacking_organisation,exploit the half-space left open once the fullback is fixed wide,"if the fullback recovers centrally in time, the run is easily tracked",MV0002,C,Z22,winger_holds_wide_position
blind_side_run_in_behind,winger_or_8,MOVEMENT,marking_cb_follows,medium-high,"CB declines to follow, holding the line instead",1v1 run in behind against the covering CB alone,attacking_organisation,exploit the space vacated by the CB who followed the false nine,offside if timing misjudged,MV0003,C,Z28,false_nine_drops_deep
third_man_release,pivot_player,PASSING,weak_side_half_space_open,medium,opponent's covering midfielder anticipates and intercepts the third-man pass,line-broken possession beyond the first press line,attacking_organisation,bypass the committed press via a pre-planned third-man pattern,requires precise timing between all three players involved,PS0001,C,Z17,double_pivot_press_committed
long_diagonal_switch,cb,PASSING,switch_lane_open,medium,weak-side fullback stays slightly narrower than usual to cut the passing lane,receiver isolated 1v1 in space,attacking_organisation,exploit a weak-side numerical advantage created by opponent ball-side shift,technical execution risk on a long diagonal ball,PS0002,C,Z25,cb_in_possession_under_no_pressure
curved_press_cutting_return_pass,striker,PRESSING,gk_weak_foot_or_low_composure,medium-high,gk plays first-time to a supporting CB before the press arrives,"regain possession high or force a long, low-percentage clearance",defensive_organisation,force a rushed long ball or turnover from the goalkeeper,foul risk if mistimed near the box,PR0001,C,Z3,back_pass_to_goalkeeper
press_from_cover_shadow_angle,nearest_presser,PRESSING,cover_shadow_available,medium,receiver uses a first-time lay-off to bypass the press entirely,"possession recycled backward, tempo of the attack broken",defensive_organisation,force the ball backward or into a covered lane rather than forward,"if the presser's angle is wrong, a forward lane is left open instead",PR0002,C,Z13,midfielder_receives_side_on
jockey_show_outside,fullback,DEFENDING,no_covering_support_arrived,medium-high,attacker uses change of pace rather than change of direction to beat the jockey,cross delivered from a deep/wide angle with reduced danger,defensive_organisation,delay the attacker and force a low-value wide cross rather than a central cutback,a technically excellent dribbler beats the show with a body feint,DF0001,C,Z20,opponent_winger_isolated_1v1
immediate_counterpress_swarm,nearest_three_players,DEFENDING,three_players_within_counterpress_range,medium,opponent's carrier plays an immediate first-time release before the swarm arrives,regain in a dangerous zone or force a rushed backward pass,defensive_transition,win the ball back before the opponent's transition attack organizes,"if the counterpress fails, the team is stretched and vulnerable to a fast break",DF0002,B,ball_carrier,possession_lost_in_middle_third
direct_run_in_behind_on_first_gap,striker,ATTACKING,no_penetrative_passing_lane_available,medium,back line holds its shape and accepts the offside risk rather than dropping,"back line drops, opening cutback zones for teammates",attacking_organisation,force the low block to defend deeper and honestly rather than statically,isolated run with no immediate end product if the pass doesn't arrive,AT0001,C,Z28,low_block_fully_set
immediate_vertical_release,ball_winner,TRANSITION,clear_forward_passing_lane_within_2_seconds,medium,opponent's rest defence shape (core KB Section 16) intercepts the release,fast break with a numerical or positional advantage,offensive_transition,exploit the opponent's disorganized defensive transition shape,a misplaced pass under transition speed gives the ball straight back,TR0001,B,advanced_forward_runner,ball_won_in_defensive_third
shift_wide_forwards_to_directly_occupy_wing_back_zones,coaching_staff,FORMATION,team_currently_in_back_four_two_strikers,medium,"opponent's back five simply sits deeper, absorbing the direct occupation without being troubled",restores a direct 1v1 matchup in wide areas rather than conceding a passive numerical mismatch,any,prevent the extra defender from simply absorbing a spare man for free,stretches the team's own central presence thinner,FM0001,C,Z20_Z25,opponent_switches_to_back_five
flag_weak_side_overload_opportunity,tactical_engine,SPACE,weak_side_zone_occupied_by_single_defender,medium-high,opponent's weak-side defender delays their own recovery run to bait an early switch,a switch-of-play recommendation is generated (see 02_EXPLAINABLE_AI_AND_UNCERTAINTY.md worked example),any,surface a positional-superiority opportunity to the decision engine,opportunity window may close before the switch can be executed,SP0001,F,weak_side_half_space,opponent_shifts_six_players_ball_side
