category,chain_id,context_formation,mechanism,reference,source_class,step_1_player_movement,step_2_space,step_3_opponent_response,step_4_team_adaptation,step_5_second_opponent_response,step_6_counter,step_7_outcome
TACTICAL_CAUSALITY,CC00001,4-2-2-2,moving_defenders_from_danger_zones,core KB Section 67-68,C,inverted_winger in Z10 screens the opponent's key defender away from the delivery zone,a spatial change occurs relative to Z10,drop_off,a teammate exploits the resulting gap near Z29,shift_across,a follow-up action targets Z29 before the second response completes,territorial_gain
TACTICAL_CAUSALITY,CC00002,3-4-3,pinning_defenders,core KB Section 67-68,C,false_fb in Z4 maintains disciplined weak-side width to pin the far defender,a spatial change occurs relative to Z4,hold_shape,a teammate exploits the resulting gap near Z5,hold_shape,a follow-up action targets Z5 before the second response completes,territorial_gain
TACTICAL_CAUSALITY,CC00003,4-1-4-1,luring_into_pressing_traps,core KB Section 67-68,C,sweeper_keeper in Z23 plays a deliberate low-risk pass to bait an aggressive press,a spatial change occurs relative to Z23,press_immediately,a teammate exploits the resulting gap near Z8,drop_off,a follow-up action targets Z8 before the second response completes,chance_created
TACTICAL_CAUSALITY,CC00004,3-5-2,pinning_defenders,core KB Section 67-68,C,poacher in Z24 maintains disciplined weak-side width to pin the far defender,a spatial change occurs relative to Z24,recover_goal_side,a teammate exploits the resulting gap near Z23,hand_over_marking,a follow-up action targets Z23 before the second response completes,progression
TACTICAL_CAUSALITY,CC00005,4-4-2_diamond,forcing_defensive_shift,core KB Section 67-68,C,false_fb in Z26 sustains a ball-side overload to force a full defensive shift,a spatial change occurs relative to Z26,double_team,a teammate exploits the resulting gap near Z29,step_up_together,a follow-up action targets Z29 before the second response completes,progression
TACTICAL_CAUSALITY,CC00006,3-1-4-2,creating_passing_lanes,core KB Section 67-68,C,traditional_winger in Z10 shifts laterally out of a defender's cover shadow,a spatial change occurs relative to Z10,double_team,a teammate exploits the resulting gap near Z20,press_immediately,a follow-up action targets Z20 before the second response completes,chance_created
TACTICAL_CAUSALITY,CC00007,3-1-4-2,pinning_defenders,core KB Section 67-68,C,deep_lying_forward in Z3 maintains disciplined weak-side width to pin the far defender,a spatial change occurs relative to Z3,double_team,a teammate exploits the resulting gap near Z29,recover_goal_side,a follow-up action targets Z29 before the second response completes,progression
TACTICAL_CAUSALITY,CC00008,4-4-2,luring_into_pressing_traps,core KB Section 67-68,C,advanced_playmaker in Z27 plays a deliberate low-risk pass to bait an aggressive press,a spatial change occurs relative to Z27,hold_shape,a teammate exploits the resulting gap near Z21,drop_off,a follow-up action targets Z21 before the second response completes,chance_created
TACTICAL_CAUSALITY,CC00009,4-2-3-1,dragging_defenders,core KB Section 67-68,C,wing_back in Z15 makes a sudden run to drag the marker out of position,a spatial change occurs relative to Z15,shift_across,a teammate exploits the resulting gap near Z11,press_immediately,a follow-up action targets Z11 before the second response completes,progression
TACTICAL_CAUSALITY,CC00010,3-5-2,fixing_defenders,core KB Section 67-68,C,shadow_striker in Z6 holds position to occupy a defender by proximity alone,a spatial change occurs relative to Z6,recover_goal_side,a teammate exploits the resulting gap near Z8,drop_off,a follow-up action targets Z8 before the second response completes,turnover_forced
TACTICAL_CAUSALITY,CC00011,3-5-2,forcing_defensive_shift,core KB Section 67-68,C,pressing_forward in Z1 sustains a ball-side overload to force a full defensive shift,a spatial change occurs relative to Z1,double_team,a teammate exploits the resulting gap near Z4,double_team,a follow-up action targets Z4 before the second response completes,progression
