available_actions,ball_zone,best_action_estimate,counter_estimate,formation_a,formation_b,game_state,numerical_state,opponent_response_estimate,opponent_shape_b,outcome_estimate,pressure_level,scenario_id,source_class,space_value_estimate,style_a,style_b,team_shape_a
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z21,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,4-1-4-1,protect_lead,attacker_plus_1,shift_across,4-1-4-1_mid_block,turnover,low,SC00001,F,0.12,tiki_taka,high_press,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z23,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,3-4-3,1-0,attacker_plus_1,hold_shape,3-4-3_mid_block,progression,medium,SC00002,F,0.22,wing_play,counterattacking,4-4-2_diamond_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z15,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,3-5-2,0-2,attacker_plus_1,step_up_together,3-5-2_mid_block,possession_reset,low,SC00003,F,0.59,counterattacking,wing_play,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z19,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,5-3-2,2-0,even,drop_off,5-3-2_mid_block,shot_created,high,SC00004,F,0.64,high_press,positional_play,3-4-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z25,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,4-2-3-1,chase_goal,even,drop_off,4-2-3-1_mid_block,shot_created,high,SC00005,F,0.53,counterattacking,wing_play,4-4-2_diamond_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z13,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-4-2,chase_goal,even,press_immediately,4-4-2_mid_block,shot_created,high,SC00006,F,0.62,gegenpressing,low_block,4-2-3-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z21,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,3-1-4-2,0-1,attacker_plus_1,step_up_together,3-1-4-2_low_block,possession_reset,medium,SC00007,F,0.68,direct_football,possession_football,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z2,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-1-4-1,1-0,attacker_plus_1,double_team,4-1-4-1_mid_block,progression,medium,SC00008,F,0.76,gegenpressing,direct_football,3-4-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z16,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,3-5-2,0-2,attacker_plus_1,hand_over_marking,3-5-2_low_block,progression,low,SC00009,F,0.82,low_block,direct_football,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z23,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,4-4-2_diamond,2-1,even,press_immediately,4-4-2_diamond_low_block,progression,low,SC00010,F,0.78,possession_football,tiki_taka,3-1-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z1,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,3-4-3,protect_lead,defender_plus_1,double_team,3-4-3_mid_block,progression,low,SC00011,F,0.59,gegenpressing,tiki_taka,5-3-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z11,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,4-2-3-1,chase_goal,even,drop_off,4-2-3-1_low_block,turnover,medium,SC00012,F,0.41,high_press,tiki_taka,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z11,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,3-5-2,2-1,even,hold_shape,3-5-2_mid_block,shot_created,high,SC00013,F,0.64,low_block,total_football,5-3-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z16,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,3-5-2,1-2,defender_plus_1,press_immediately,3-5-2_mid_block,possession_reset,low,SC00014,F,0.79,total_football,direct_football,3-1-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z2,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,3-1-4-2,2-1,attacker_plus_1,shift_across,3-1-4-2_mid_block,turnover,low,SC00015,F,0.25,positional_play,direct_football,4-2-3-1_possession_shape
